"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
007bad71-672d-464a-9a02-cb26b078b138,1784e0ad-6c71-45e2-b758-c499a5223e7e,34995.0,2023-01-09,aba0b412-862a-4782-a8cb-99cb30cb7a7f,"#N/A",Pipeline,false,"#N/A",Tazzy - Additional Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
00a5d2d0-9116-4f15-b864-a1fd128b1044,0d5bd2e4-7ab2-4091-92c3-bd882627b476,34995.0,2023-02-24,"#N/A","#N/A",Pipeline,false,"#N/A",Kamba - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
00e71cde-0d98-4277-9193-4e5e95f46761,ffb31a5b-4a1f-4112-83d9-21a8f4a30e27,18050.0,2023-03-15,"#N/A","#N/A",Pipeline,false,"#N/A",Twinder - Cross-sell-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
010166e4-e87b-4ad5-9af3-e31863b8f93a,198079c9-7543-4b63-8305-5f32edde4c5f,18350.0,2023-01-29,"#N/A","#N/A",Pipeline,false,"#N/A",Voolith - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0149b542-a9dc-4f40-8ab8-5bc89b7fa4b2,22f16017-8b65-49af-a1f8-24fccb018649,75000.0,2023-05-05,"#N/A","#N/A",Pipeline,false,"#N/A",Omba - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0152b4d5-13fc-4d78-be75-26deeb8a8eba,f0544aaa-1203-4b6f-b08e-67e9fb21968c,72395.0,2022-08-16,"#N/A","#N/A",Omitted,false,"#N/A",Wikibox - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
01ab461d-9164-4f3d-8fb7-4d37106908f5,14482cd9-d769-4511-bf75-988445393e35,72395.0,2022-08-16,"#N/A","#N/A",Omitted,false,"#N/A",Blognation - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0276dfc6-b2c7-414c-a51f-f8c1d2c7d997,f63f14e4-b7d5-4a7e-9130-ca7403aca915,75000.0,2023-05-05,"#N/A","#N/A",Pipeline,false,"#N/A",Topiclounge - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
032779db-b44a-4f6e-82ab-8f2a19642deb,a8562229-3867-4965-af5b-acc73800ddef,75000.0,2023-04-20,"#N/A","#N/A",Pipeline,false,"#N/A",Kimia - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
034a9b98-9491-4e54-aeb0-d88e221bee5a,2ef1a23d-2f43-42e6-8df6-845f3016dde2,75650.0,2023-01-02,ac110a2c-ed25-4467-8078-8709ecd6002c,"#N/A",Pipeline,false,"#N/A",Skyvu - Additional Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
