"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
0af7afa8-869c-4c7e-8dbe-5728d0e44a26,SBQQ__Quantity__c,Protected_Devices__c,1.0,d63790ca-0008-41c4-b2ed-0e913ab40985,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
10ea4f68-3bdf-4846-a937-5f564b9ee942,Discount (%),"#N/A","#N/A",7785d934-ec48-423b-9f63-509e92f93ffd,"#N/A","#N/A",Quote Line,"#N/A",45
1a00d9d2-4e06-4a86-85db-1bdf1ff750f9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",ddb5a857-66e9-44c9-81a7-099dc129755d,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
1d7c6da4-3554-43d5-9874-09c51aec5a11,SBQQ__Quantity__c,Protected_Devices__c,1.0,a15b1a9d-8176-480e-b010-bf141866a1ab,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
20c3eb66-cf5d-4d11-9fa6-86c490a82bc9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,1ba70710-0239-444a-b267-4c47c4bdcbed,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
25a2725e-cfe7-46fa-bf65-c4d16709638c,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",315d08d5-c01e-4a55-999d-01186cbe4d79,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2602dfd7-06e0-4138-807e-1c77207d0d89,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,3ea4d94c-b3c9-4159-b2f6-5b92146d1a02,"#N/A","#N/A",Product Option,"#N/A","#N/A"
29378a05-9a80-4723-9546-0439125afc56,Discount (%),"#N/A","#N/A",4c90f9dd-1c6a-48b6-b628-276ce656effe,"#N/A","#N/A",Quote Line,"#N/A",45
2dd9ec91-5969-45cc-9916-3059dbcb989b,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",4fc3edb2-d971-4dae-ba74-f10024e44512,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
34de6efd-d375-49f0-97db-963a6d334776,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",eed88497-55aa-407a-a16a-3fe6b9050d26,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
37245580-ba1a-4595-a238-3f96d0420024,SBQQ__Quantity__c,Protected_Devices__c,1.0,e583b22f-1dfa-4020-9452-3f5293dbce58,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
