"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
046a7930-95f7-4c57-bc49-b3db81432639,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,bde69140-d770-47b4-992d-d9ab69ee5bdc,"#N/A","#N/A",Run-on-all-quotelines
06c02326-1b98-42c4-a55a-c81f71c11a26,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,5b88040a-6da7-4e1e-b767-c23f30e58220,"#N/A","#N/A",fdhfvu6578
0b378962-2be6-4eab-a782-f0a46be71492,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,a15b1a9d-8176-480e-b010-bf141866a1ab,"#N/A","#N/A",EP-014
0d24c558-5be9-4c0d-97aa-8b79a91d54be,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,84822f0b-3ec2-4225-9b1d-a825e2ef9091,"#N/A","#N/A",0
0d8de0d9-d97b-466e-8ad2-87334926c882,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,3ea4d94c-b3c9-4159-b2f6-5b92146d1a02,"#N/A","#N/A",EP-013
0e606bf9-5338-4a4a-9e93-94b83091f7de,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,38e3ec40-c594-43c3-a87b-e83aa7d8134f,"#N/A","#N/A","#N/A"
18ee10d9-38c4-4d6e-bd85-461cdf52025f,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,9ffe019d-33a3-493d-89a1-80582afcbc3c,"#N/A","#N/A",0
1b4db719-baf9-4e4f-aa45-522863cf18ac,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,f8a9be9c-eb49-464b-9edc-6bfad0851a21,"#N/A","#N/A",0
1e299828-ebda-43de-b249-c609405ca155,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,7c44cabd-e7a4-466b-911d-c50cd736e054,"#N/A","#N/A",Quote
2582585a-8f7f-4127-a8d2-24487aada181,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,c97ff48d-60b5-4522-9355-4d14d0737171,"#N/A","#N/A",EP-015
2a55f3c7-a497-4d3a-8865-227537a6b6ff,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,824361e8-ff08-4414-bb05-b7fe11572363,"#N/A","#N/A",EP-015
2c305306-e7f4-4913-a151-17b13b0d5b9e,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,035acec9-96ab-44a4-ae67-7cf44c009758,"#N/A","#N/A",EP-015
2c7975eb-07f4-4e1c-8d67-595a13abb374,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,4c90f9dd-1c6a-48b6-b628-276ce656effe,"#N/A","#N/A",Run-on-all-quotelines
2db2cacb-d269-4a30-991b-fdb81cc4ab8b,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,32db8758-7a81-4244-b834-ff146ec02dd5,"#N/A","#N/A","#N/A"
31ac2314-f9af-4f06-9b04-f24b842f9c2b,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,d63790ca-0008-41c4-b2ed-0e913ab40985,"#N/A","#N/A",EP-014
334e3257-b7c9-4328-b6a3-c20cce856a02,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,e122283e-cd7e-4653-a377-2bbdd482cc64,"#N/A","#N/A",fdhfvu6578
36080350-81cf-4126-aaa7-535c10ec4478,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,13fdb7d4-711f-4e2b-9b74-3b206ccb38b6,"#N/A","#N/A","#N/A"
3cacc122-8d0d-40b8-bc25-05af66f84dcb,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,c81f5115-5f2d-4b2b-ae6c-bc5f8d6c6612,"#N/A","#N/A","#N/A"
3fb476c5-5e2e-4188-9f92-7a6938870884,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,starts with,e67cba4b-519d-4688-a561-c213552489c4,"#N/A","#N/A",SRV
40800dbf-9ffa-4aeb-b103-e488326d0c1f,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,ddb5a857-66e9-44c9-81a7-099dc129755d,"#N/A","#N/A",WDCHIP
49270524-9451-4db6-9dea-613536947ac4,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,0dc3baf2-ca0c-4fe3-9941-2782e79b8be1,"#N/A","#N/A",EP-015
