"Guid","SBQQ__AdditionalDiscountAmount__c","SBQQ__AdditionalQuantity__c","SBQQ__AllowAssetRefund__c","SBQQ__BatchQuantity__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__CarryoverLine__c","SBQQ__ChargeType__c","SBQQ__ComponentCost__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__ComponentListTotal__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__ComponentTotal__c","SBQQ__ComponentUpliftedByPackage__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationRequired__c","SBQQ__CostEditable__c","SBQQ__CustomerPrice__c","SBQQ__DefaultSubscriptionTerm__c","SBQQ__Description__c","SBQQ__DiscountScheduleType__c","SBQQ__DiscountSchedule__c","SBQQ__DiscountTier__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__EarliestValidAmendmentStartDate__c","SBQQ__EndDate__c","SBQQ__Existing__c","SBQQ__Favorite__c","SBQQ__GenerateContractedPrice__c","SBQQ__GrossProfit__c","SBQQ__Group__c","SBQQ__Guidance__c","SBQQ__HasConsumptionSchedule__c","SBQQ__Hidden__c","SBQQ__Incomplete__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__MaximumPrice__c","SBQQ__MinimumPrice__c","SBQQ__NetPrice__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__Optional__c","SBQQ__OriginalPrice__c","SBQQ__OriginalQuoteLineId__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PartnerPrice__c","SBQQ__PreviousSegmentPrice__c","SBQQ__PreviousSegmentUplift__c","SBQQ__PriceEditable__c","SBQQ__PricebookEntryId__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__PriorQuantity__c","SBQQ__ProductOption__c","SBQQ__ProductSubscriptionType__c","SBQQ__ProrateMultiplier__c","SBQQ__ProratedListPrice__c","SBQQ__ProratedPrice__c","SBQQ__Quantity__c","SBQQ__Quote__c","SBQQ__RegularPrice__c","SBQQ__Renewal__c","SBQQ__RenewedSubscription__c","SBQQ__RequiredBy__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__Source__c","SBQQ__SpecialPriceDescription__c","SBQQ__SpecialPriceType__c","SBQQ__SpecialPrice__c","SBQQ__StartDate__c","SBQQ__SubscribedAssetIds__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionScope__c","SBQQ__SubscriptionTargetPrice__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__TaxCode__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__TermDiscountTier__c","SBQQ__TermDiscount__c","SBQQ__UnitCost__c","SBQQ__UnproratedNetPrice__c","SBQQ__UpgradedQuantity__c","SBQQ__UpgradedSubscription__c","SBQQ__UpliftAmount__c","SBQQ__Uplift__c","SBQQ__VolumeDiscount__c"
054cd095-032f-40e5-82c5-e5213a7b4737,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,14.24,"#N/A",1 24-count Box of K-Cups Pods- One time,"#N/A","#N/A","#N/A",5.0,"#N/A",a2s3t000001W5l1AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,14.99,"#N/A","#N/A","#N/A","#N/A",14.24,false,false,5.0,"#N/A","#N/A",1.0,Component,false,14.99,"#N/A","#N/A","#N/A","#N/A","#N/A",14.24,"#N/A","#N/A",false,01u3t00000evsKkAAI,false,List,"#N/A",fd16e7f9-3de1-4d6c-8b86-9dd030748bc4,One-time,1.0,14.99,14.99,1.0,a306102a-9cdd-469d-8c1d-25af2c4027ab,14.99,false,"#N/A",119a9c29-51a4-49f5-be72-92d70eddc2e5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",14.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
102ccc94-5a0a-4520-98c8-da326cf6e246,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,89.96,1.0,"K-Cycle™ bins are bundled in packs of five (5), for offices that brew 24 K-Cup® pods or more a day - 450 K-Cup® pods per bin. Single bins are not available.- Recurring<br> <br>EACH BIN INCLUDES<br>1. Pre-paid UPS return label affixed to bin<br>2. Pre-affixed bag and zip tie seal for brewed K-Cup® pod collection","#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l3AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,89.96,"#N/A","#N/A","#N/A","#N/A",89.96,false,false,6.0,"#N/A","#N/A",1.0,Component,false,89.96,"#N/A","#N/A","#N/A","#N/A","#N/A",89.96,"#N/A","#N/A",false,01u3t00000evsKLAAY,false,List,"#N/A",51cb0dd8-0172-4c79-b020-57faf75e2ae3,Renewable,1.0,89.96,89.96,1.0,a306102a-9cdd-469d-8c1d-25af2c4027ab,89.96,false,"#N/A",119a9c29-51a4-49f5-be72-92d70eddc2e5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",89.96,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
119a9c29-51a4-49f5-be72-92d70eddc2e5,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",true,"#N/A",false,false,"#N/A",0.0,false,598.92,"#N/A",595.92,false,"#N/A",false,false,0.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,0.0,"#N/A","#N/A","#N/A","#N/A",0.0,false,false,1.0,"#N/A","#N/A","#N/A","#N/A",false,0.0,"#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A",false,01u3t00000evsKpAAI,false,List,"#N/A","#N/A",One-time,1.0,0.0,0.0,1.0,a306102a-9cdd-469d-8c1d-25af2c4027ab,0.0,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
13e74c50-cb25-4df0-89ed-abdecc6b3ffc,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,359.99,"#N/A",Fully programmable coffee maker with an interactive touch-screen that allows for a customizable brewing experience.<br>Includes Direct Plumb Kit Accessory,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l4AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,359.99,"#N/A","#N/A","#N/A","#N/A",359.99,false,false,7.0,"#N/A","#N/A",1.0,Component,false,359.99,"#N/A","#N/A","#N/A","#N/A","#N/A",359.99,"#N/A","#N/A",false,01u3t00000evsKaAAI,false,List,"#N/A",617145d8-52ff-4304-a320-22e22d4115c6,One-time,1.0,359.99,359.99,1.0,2010269b-2774-41ca-a436-b7c72291828a,359.99,false,"#N/A",a2f1bed1-e6a3-4271-a6d1-65bf0735f025,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",359.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
25d7a91f-f17a-4b42-91c5-67bed58cd506,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,35.42,"#N/A",10 Gallon Bag in Box Syrup- One time,"#N/A","#N/A","#N/A",10.0,"#N/A",a2s3t000001W5l0AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,39.35,"#N/A","#N/A","#N/A","#N/A",35.42,false,false,2.0,"#N/A","#N/A",1.0,Component,false,39.35,"#N/A","#N/A","#N/A","#N/A","#N/A",35.42,"#N/A","#N/A",false,01u3t00000evsKgAAI,false,List,"#N/A",25ef9b4f-a21f-40eb-a51c-7745404d467f,One-time,1.0,39.35,39.35,1.0,6798676e-6c26-4117-872c-32c977a9d6d4,39.35,false,"#N/A",a2a03b44-04a8-474a-9f43-6800e01d5f7a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",39.35,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
2aec79dc-b184-4283-8c63-1971aa1cf41b,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,14.99,"#N/A",1 24-count Box of K-Cups Pods- One time,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l1AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,14.99,"#N/A","#N/A","#N/A","#N/A",14.99,false,false,4.0,"#N/A","#N/A",1.0,Component,false,14.99,"#N/A","#N/A","#N/A","#N/A","#N/A",14.99,"#N/A","#N/A",false,01u3t00000evsKnAAI,false,List,"#N/A",f4e3d741-ae0a-4ae5-b2c6-5884e72a5327,Renewable,1.0,14.99,14.99,1.0,50ac9600-ce61-4bfc-baa2-1e4f1ef962fe,14.99,false,"#N/A",f8745dc6-940c-41a3-a7a9-536e061d3e71,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",14.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
2e2af6bc-bb07-48fe-863a-452db1344765,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,449.0,"#N/A",A high capacity coffee maker designed for continuous use with direct water line plumbing.,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l4AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,449.0,"#N/A","#N/A","#N/A","#N/A",449.0,false,false,7.0,"#N/A","#N/A",1.0,Component,false,449.0,"#N/A","#N/A","#N/A","#N/A","#N/A",449.0,"#N/A","#N/A",false,01u3t00000evsKbAAI,false,List,"#N/A",f2316546-c1a2-4b59-b269-1e2b0e0ab089,One-time,1.0,449.0,449.0,1.0,a306102a-9cdd-469d-8c1d-25af2c4027ab,449.0,false,"#N/A",119a9c29-51a4-49f5-be72-92d70eddc2e5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",449.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
2e76b43f-d09c-4b41-b411-77d5ec535ad8,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,3189.0,"#N/A",10 Flomatic valves to dispense an assortment of beverages. <br>Ice dispenser holds 200lb of ice.,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l5AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,3189.0,"#N/A","#N/A","#N/A","#N/A",3189.0,false,false,10.0,"#N/A","#N/A",1.0,Component,false,3189.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",false,01u3t00000evsJpAAI,false,List,"#N/A",f9c187b7-512c-409c-922e-01667b66435d,One-time,1.0,3189.0,3189.0,1.0,2de78893-a5ac-4983-b230-c38149bec2a9,3189.0,false,"#N/A",a6ae03cb-e12a-4ed3-8400-125d0df87bf6,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
2ed24730-d08c-4ab3-b916-705eda79c947,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,336.75,"#N/A",A high capacity coffee maker designed for continuous use with direct water line plumbing.,"#N/A","#N/A","#N/A",25.0,"#N/A",a2s3t000001W5l4AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,449.0,"#N/A","#N/A","#N/A","#N/A",336.75,false,false,8.0,"#N/A","#N/A",1.0,Component,false,449.0,"#N/A","#N/A","#N/A","#N/A","#N/A",336.75,"#N/A","#N/A",false,01u3t00000evsKbAAI,false,List,"#N/A",f2316546-c1a2-4b59-b269-1e2b0e0ab089,One-time,1.0,449.0,449.0,1.0,50ac9600-ce61-4bfc-baa2-1e4f1ef962fe,449.0,false,"#N/A",f8745dc6-940c-41a3-a7a9-536e061d3e71,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",449.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
3599145c-4787-4da1-ab81-e6a3cba037a0,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,150.0,1.0,Regular cleaning &amp; preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s3t000001W5l3AAC,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,150.0,"#N/A","#N/A","#N/A","#N/A",150.0,false,false,7.0,"#N/A","#N/A",1.0,Component,false,150.0,"#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",false,01u3t00000evsJoAAI,false,List,"#N/A",8953cc6d-d41b-4096-a3bb-c682a1fac23a,Renewable,1.0,150.0,150.0,1.0,50ac9600-ce61-4bfc-baa2-1e4f1ef962fe,150.0,false,"#N/A",f8745dc6-940c-41a3-a7a9-536e061d3e71,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
